8.219.137.50	2082
8.219.156.148	2053
8.222.152.71	2053
47.236.103.153	80
8.219.123.244	2083
8.219.129.38	8443
47.236.121.23	2052
47.236.87.246	2096
8.219.101.72	2087
8.219.74.35	2086
8.219.167.113	2087
47.236.104.98	2053
8.222.226.15	80
47.245.4.219	2053
47.236.144.208	2096
8.222.133.247	8080
8.219.170.180	2086
8.219.172.128	2053
8.217.149.28	2095
8.218.126.53	2096
47.236.15.121	2095
8.222.219.34	2087
8.219.198.34	2087
8.217.221.165	2087
47.236.10.100	8443
8.217.221.165	2053
8.222.168.234	2096
8.219.241.189	443
47.245.86.18	2087
8.222.137.178	8880
8.219.199.220	443
47.245.82.208	2083
8.222.229.102	2087
47.245.80.142	2096
8.219.78.1	8443
8.219.218.21	2086
8.222.138.164	2082
8.222.208.83	80
8.219.170.58	2096
8.219.170.180	443
8.217.159.210	2087
8.219.200.145	2052
8.219.249.38	2087
8.222.175.78	80
47.74.54.33	2083
8.219.210.93	2053
8.219.99.169	2082
8.222.129.245	8443
8.209.243.137	2095
47.245.33.56	8080
8.219.222.8	2086
47.236.94.113	2096
47.245.80.142	2082
8.222.164.44	2053
8.219.6.157	2052
8.219.240.141	8443
8.222.197.251	2096
47.236.121.7	2053
8.222.167.8	2082
47.236.166.84	2086
47.236.114.167	2053
47.236.146.249	8080
47.245.56.207	8443
8.219.209.14	2053
8.219.153.44	2083
8.219.228.30	8080
47.236.176.144	2095
8.222.244.192	2087
47.236.145.85	80
8.219.103.126	8880
47.245.14.160	2096
8.222.130.137	8080
8.222.136.247	80
8.219.206.180	8080
8.219.139.13	8443
47.236.94.109	8080
8.219.140.63	8443
8.210.107.246	2096
8.219.60.130	2082
8.219.87.34	2053
8.222.168.24	2052
8.219.178.101	8443
8.217.149.28	2087
8.219.173.195	2053
8.219.196.24	8080
8.218.211.17	2053
47.245.59.133	2096
8.219.177.205	2087
47.245.6.9	2053
47.236.172.41	2052
8.217.251.62	2096
47.245.7.212	8443
47.245.59.243	2052
47.236.144.156	8443
8.219.0.162	2086
8.219.178.225	2082
8.222.212.219	2096
47.245.42.210	2082
47.236.82.218	8880
8.219.247.53	8443
8.219.122.55	2087
8.222.144.50	2087
8.219.77.91	80
8.219.201.174	8880
47.236.11.68	2087
8.218.156.91	8443
47.91.21.149	8443
47.236.82.218	8443
47.245.56.207	2095
8.219.123.244	2087
8.219.93.5	2052
8.209.243.172	8080
8.219.82.177	2087
8.222.238.141	2083
8.222.253.235	2082
8.219.126.3	8880
8.219.111.175	8443
47.245.15.207	2083
8.219.56.205	2083
8.219.103.57	2082
47.236.206.153	2087
47.91.31.152	2086
8.219.173.233	2083
47.245.84.155	8443
47.245.94.144	80
47.88.101.9	80
47.74.13.66	2083
8.222.159.252	80
8.219.153.44	2052
47.245.56.121	2082
8.219.134.63	8880
8.219.139.86	2096
8.222.159.252	2083
8.219.73.188	8880
8.219.170.223	2095
8.219.110.88	2053
47.236.97.254	8443
47.245.84.155	2083
47.245.55.235	2095
8.219.251.81	8443
47.242.171.94	2083
8.222.152.71	2086
8.222.198.105	2087
8.219.43.243	80
47.236.121.7	2052
8.222.130.219	2096
8.219.56.205	8443
47.236.172.95	2083
47.236.7.13	2082
47.245.41.69	2053
8.219.106.15	2053
8.219.61.52	80
47.236.31.73	2096
8.219.210.64	2082
8.219.167.65	2082
8.219.114.201	443
8.219.142.229	2053
47.236.144.196	8443
8.219.198.139	2087
8.222.180.242	8880
47.236.166.84	2053
8.219.202.130	2083
8.219.82.177	8443
8.219.153.237	2095
8.219.213.133	2083
8.219.110.88	8443
47.245.31.0	2087
8.219.66.156	2086
8.222.137.166	2053
8.219.163.195	2053
47.245.37.89	2095
47.245.12.179	2087
47.236.83.196	2087
47.236.169.164	2053
8.219.65.191	2082
8.218.142.253	2052
47.245.53.50	8880
47.236.145.180	80
8.219.167.113	8880
47.236.233.166	2087
8.219.245.232	2087
8.219.178.101	2053
8.219.97.179	2086
47.245.2.231	8443
8.219.151.193	2095
47.236.156.14	8880
8.222.152.71	8080
8.219.63.66	2095
8.209.252.13	2052
8.219.89.201	2096
8.219.167.113	2087
47.245.37.98	8443
8.222.164.209	8880
8.222.130.156	8880
8.219.208.69	2087
8.219.55.31	2086
8.210.66.190	8443
47.245.34.140	8880
8.219.178.225	2095
47.236.149.107	2087
8.218.110.180	2087
8.219.74.35	8080
47.236.106.234	2095
8.219.253.185	2095
47.236.144.156	2082
8.219.114.201	2053
8.219.3.53	80
8.219.78.222	8443
8.217.167.88	8880
47.236.201.98	8080
47.236.192.198	8080
47.236.163.221	2083
47.76.77.103	2096
8.219.63.66	2086
8.219.228.30	2096
47.91.31.231	2087
47.236.172.95	8880
8.222.136.196	2095
8.219.113.27	2083
8.219.178.225	2052
8.219.40.37	8443
47.236.144.208	2096
47.91.23.146	2082
8.218.122.55	2096
8.219.81.50	2096
47.91.29.108	80
47.236.130.95	8880
8.219.241.189	2086
8.219.123.244	2096
8.219.99.8	2052
8.219.159.232	8443
8.210.107.246	8080
8.219.134.117	80
8.219.90.87	2087
8.219.161.129	2083
47.74.39.194	8443
8.222.172.23	2052
8.219.90.87	2096
47.236.15.73	2052
8.219.101.138	443
47.245.37.98	80
47.236.83.239	2052
47.236.184.14	80
47.236.179.182	2096
8.219.245.187	2053
8.219.183.31	8443
47.245.37.98	2052
47.245.11.62	2087
8.219.1.92	8880
8.219.238.145	443
8.219.93.5	8443
8.219.253.18	2052
47.236.144.208	2095
8.218.188.129	80
8.219.210.93	2096
47.91.29.108	8443
8.222.150.197	2052
8.217.49.34	2083
8.222.198.105	2096
47.236.71.226	8080
47.237.27.69	2083
8.219.5.10	2096
8.219.228.30	2052
8.217.193.25	2087
47.245.114.163	2087
47.242.174.27	2052
47.245.54.98	2087
47.236.79.87	2086
8.210.65.1	2053
8.219.60.68	443
47.88.101.9	443
47.245.11.108	2083
8.219.100.168	8443
47.245.82.78	2083
8.219.228.30	2053
8.219.241.189	2096
47.236.104.123	2095
8.219.63.193	2052
47.91.31.231	2086
8.219.113.232	2082
8.219.140.229	2052
8.219.60.130	8880
8.219.50.180	2087
47.245.84.155	80
8.219.171.6	8880
47.236.21.51	2083
47.245.39.49	2052
8.222.144.50	8880
8.219.198.139	2052
8.222.155.242	2095
47.76.178.146	2083
47.236.167.231	8443
8.219.140.63	2095
47.236.172.41	80
8.222.172.23	2053
8.219.173.239	2086
47.245.56.207	2082
8.219.210.64	2053
8.219.129.38	8080
47.245.57.109	80
8.219.198.139	2086
8.222.152.71	2096
8.219.56.205	2053
47.245.37.41	2087
47.245.11.118	2053
8.219.201.8	2096
8.222.145.164	8443
8.219.97.179	80
8.219.159.232	443
47.245.42.162	2087
8.219.102.252	2082
8.219.142.229	80
8.219.157.97	443
8.222.154.50	2083
8.222.190.225	2086
8.219.193.22	2082
47.74.5.233	2087
8.219.90.32	2053
8.219.178.225	2053
47.236.144.208	2095
8.222.167.147	2087
8.219.113.232	2096
47.245.37.12	2087
47.245.40.161	8880
8.222.238.141	2087
47.91.31.152	8880
8.222.152.71	8443
8.219.3.53	8443
47.236.144.196	2087
8.209.241.128	2052
8.222.252.123	8080
8.219.113.27	8080
47.245.54.98	2095
8.219.100.155	8443
8.219.70.117	2095
8.219.110.88	2083
47.245.28.255	8443
8.219.242.208	2083
8.219.137.50	80
47.236.96.141	2053
47.245.80.39	2053
47.236.145.85	2052
8.219.122.96	443
8.219.114.201	80
20.84.118.215 8443 443 TRUE
13.68.186.91 443 443 TRUE
20.221.32.145 443 443 TRUE
52.156.12.177 8443 443 TRUE
20.106.232.192 8443 443 TRUE
4.232.160.19 2052 2052 FALSE
74.249.233.213 443 443 TRUE
172.206.232.209 80 80 FALSE
20.75.178.96 443 443 TRUE
172.208.36.45 80 443 TRUE
172.208.36.45 443 443 TRUE
20.151.142.151 8443 443 TRUE
20.76.116.79 8080 80 FALSE
4.228.73.223 443 0 FALSE
20.226.170.152 443 0 FALSE
4.228.114.106 443 0 FALSE
191.232.186.156 2053 443 TRUE
191.232.186.156 8443 443 TRUE
191.237.205.178 443 0 FALSE
4.228.9.204 443 0 FALSE
191.237.202.255 443 0 FALSE
20.201.48.75 443 0 FALSE
20.201.9.186 443 0 FALSE
51.107.211.178 2086 80 FALSE
51.107.211.178 2052 80 FALSE
51.107.211.177 2087 80 FALSE
51.107.211.177 2096 80 FALSE
51.107.211.177 2095 80 FALSE
162.159.130.113
162.159.137.228
162.159.128.0
104.20.22.1
162.159.129.55
104.20.21.92
162.159.143.97
172.67.69.136
162.159.135.110
104.26.13.165
